product_id,product_category_name,indian_category,hsn_code,gst_rate
PROD_00000,business_supplies,general_merchandise,9999,18.0
PROD_00001,books_imported,general_merchandise,9999,18.0
PROD_00002,electronics_tablets,general_merchandise,9999,18.0
PROD_00003,fashion_footwear,general_merchandise,9999,18.0
PROD_00004,grocery_food,general_merchandise,9999,18.0
PROD_00005,tools_construction,general_merchandise,9999,18.0
PROD_00006,electronics_computers,general_merchandise,9999,18.0
PROD_00007,tools_general,general_merchandise,9999,18.0
PROD_00008,baby_products,general_merchandise,9999,18.0
PROD_00009,marketplace,general_merchandise,9999,18.0
PROD_00010,media_instruments,general_merchandise,9999,18.0
PROD_00011,watches_gifts,general_merchandise,9999,18.0
PROD_00012,grocery_food,general_merchandise,9999,18.0
PROD_00013,electronics_tablets,general_merchandise,9999,18.0
PROD_00014,climate_control,general_merchandise,9999,18.0
PROD_00015,electronics_audio,general_merchandise,9999,18.0
PROD_00016,furniture_kitchen,general_merchandise,9999,18.0
PROD_00017,home_textiles,general_merchandise,9999,18.0
PROD_00018,electronics_general,general_merchandise,9999,18.0
PROD_00019,signage_safety,general_merchandise,9999,18.0
PROD_00020,electronics_audio,general_merchandise,9999,18.0
PROD_00021,security,general_merchandise,9999,18.0
PROD_00022,marketplace,general_merchandise,9999,18.0
PROD_00023,watches_gifts,general_merchandise,9999,18.0
PROD_00024,home_appliances_small,general_merchandise,9999,18.0
PROD_00025,home_textiles,general_merchandise,9999,18.0
PROD_00026,electronics_general,general_merchandise,9999,18.0
PROD_00027,novelty_gifts,general_merchandise,9999,18.0
PROD_00028,electronics_computers,general_merchandise,9999,18.0
PROD_00029,home_comfort,general_merchandise,9999,18.0
PROD_00030,baby_hygiene,general_merchandise,9999,18.0
PROD_00031,lighting,general_merchandise,9999,18.0
PROD_00032,home_appliances,general_merchandise,9999,18.0
PROD_00033,lighting,general_merchandise,9999,18.0
PROD_00034,services,general_merchandise,9999,18.0
PROD_00035,furniture_kitchen,general_merchandise,9999,18.0
PROD_00036,books_general,general_merchandise,9999,18.0
PROD_00037,home_appliances,general_merchandise,9999,18.0
PROD_00038,media_video,general_merchandise,9999,18.0
PROD_00039,health_beauty,general_merchandise,9999,18.0
PROD_00040,kitchen_appliances,general_merchandise,9999,18.0
PROD_00041,fashion_kids,general_merchandise,9999,18.0
PROD_00042,luggage,general_merchandise,9999,18.0
PROD_00043,furniture_office,general_merchandise,9999,18.0
PROD_00044,luggage,general_merchandise,9999,18.0
PROD_00045,furniture_office,general_merchandise,9999,18.0
PROD_00046,furniture_decor,general_merchandise,9999,18.0
PROD_00047,furniture_bedroom,general_merchandise,9999,18.0
PROD_00048,books_general,general_merchandise,9999,18.0
PROD_00049,art_supplies,general_merchandise,9999,18.0
PROD_00050,luggage,general_merchandise,9999,18.0
PROD_00051,seasonal_christmas,general_merchandise,9999,18.0
PROD_00052,fashion_men,general_merchandise,9999,18.0
PROD_00053,media_music,general_merchandise,9999,18.0
PROD_00054,furniture_decor,general_merchandise,9999,18.0
PROD_00055,signage_safety,general_merchandise,9999,18.0
PROD_00056,home_comfort,general_merchandise,9999,18.0
PROD_00057,home_comfort,general_merchandise,9999,18.0
PROD_00058,electronics_general,general_merchandise,9999,18.0
