order_id,product_id,price,freight_value,price_inr,indian_category,hsn_code,gst_rate,cost_price,gst_amount,is_holiday,holiday_effect,is_monsoon,weather_effect,is_weekend
ORD_00000000,PROD_00124,518.39,25.92,440.63149999999996,general_merchandise,9999,18.0,410.81,67.21,False,0.0,True,-0.15,False
ORD_00000000,PROD_00301,1001.21,50.06,851.0285,general_merchandise,9999,18.0,742.22,129.82,False,0.0,True,-0.15,False
ORD_00000001,PROD_00300,2811.36,140.57,2811.36,general_merchandise,9999,18.0,2247.16,428.85,False,0.0,False,0.0,False
ORD_00000001,PROD_00026,40716.97,2035.85,40716.97,general_merchandise,9999,18.0,33113.6,6211.06,False,0.0,False,0.0,False
ORD_00000002,PROD_00442,4487.13,224.36,3814.0605,general_merchandise,9999,18.0,3658.86,581.81,False,0.0,True,-0.15,False
ORD_00000003,PROD_00332,55.41,2.77,55.41,general_merchandise,9999,18.0,43.06,8.45,False,0.0,False,0.0,False
ORD_00000004,PROD_00423,2586.94,129.35,2586.94,general_merchandise,9999,18.0,2001.32,394.62,False,0.0,False,0.0,False
ORD_00000004,PROD_00285,27758.28,1387.91,27758.28,general_merchandise,9999,18.0,21001.89,4234.31,False,0.0,False,0.0,False
ORD_00000004,PROD_00348,3352.06,167.6,3352.06,general_merchandise,9999,18.0,2538.12,511.33,False,0.0,False,0.0,False
ORD_00000004,PROD_00216,3686.38,184.32,3686.38,general_merchandise,9999,18.0,2995.01,562.33,False,0.0,False,0.0,False
ORD_00000004,PROD_00139,2777.77,138.89,2777.77,general_merchandise,9999,18.0,2159.66,423.73,False,0.0,False,0.0,False
ORD_00000005,PROD_00438,2129.56,106.48,2129.56,general_merchandise,9999,18.0,1581.24,324.85,False,0.0,False,0.0,False
ORD_00000005,PROD_00092,4600.44,230.02,4600.44,general_merchandise,9999,18.0,3792.7,701.76,False,0.0,False,0.0,False
ORD_00000006,PROD_00130,1036.04,51.8,880.6339999999999,general_merchandise,9999,18.0,773.42,134.33,False,0.0,True,-0.15,False
ORD_00000006,PROD_00336,2188.39,109.42,1860.1314999999997,general_merchandise,9999,18.0,1693.97,283.75,False,0.0,True,-0.15,False
ORD_00000007,PROD_00127,529.39,26.47,529.39,general_merchandise,9999,18.0,412.19,80.75,False,0.0,False,0.0,False
ORD_00000007,PROD_00022,2246.68,112.33,2246.68,general_merchandise,9999,18.0,1709.44,342.71,False,0.0,False,0.0,False
ORD_00000008,PROD_00163,126.99,6.35,126.99,general_merchandise,9999,18.0,96.55,19.37,False,0.0,False,0.0,False
ORD_00000008,PROD_00492,3275.81,163.79,3275.81,general_merchandise,9999,18.0,2480.97,499.7,False,0.0,False,0.0,False
ORD_00000008,PROD_00179,829.3,41.46,829.3,general_merchandise,9999,18.0,664.62,126.5,False,0.0,False,0.0,False
ORD_00000008,PROD_00048,61.76,3.09,61.76,general_merchandise,9999,18.0,49.41,9.42,False,0.0,False,0.0,False
ORD_00000009,PROD_00489,48237.16,2411.86,48237.16,general_merchandise,9999,18.0,39941.32,7358.21,False,0.0,False,0.0,False
ORD_00000009,PROD_00437,3461.27,173.06,3461.27,general_merchandise,9999,18.0,2619.33,527.99,False,0.0,False,0.0,False
ORD_00000010,PROD_00075,20008.86,1000.44,17007.531,general_merchandise,9999,18.0,16475.48,2594.37,False,0.0,True,-0.15,False
ORD_00000010,PROD_00236,35130.96,1756.55,29861.316,general_merchandise,9999,18.0,26293.0,4555.12,False,0.0,True,-0.15,False
ORD_00000011,PROD_00397,1763.61,88.18,1763.61,general_merchandise,9999,18.0,1406.72,269.03,False,0.0,False,0.0,False
ORD_00000012,PROD_00483,41551.85,2077.59,54017.405,general_merchandise,9999,18.0,32283.22,8239.94,True,0.3,False,0.0,True
ORD_00000012,PROD_00364,13143.81,657.19,17086.953,general_merchandise,9999,18.0,10623.37,2606.48,True,0.3,False,0.0,True
ORD_00000012,PROD_00259,25780.67,1289.03,33514.871,general_merchandise,9999,18.0,19818.11,5112.44,True,0.3,False,0.0,True
ORD_00000013,PROD_00473,1903.35,95.17,2284.02,general_merchandise,9999,18.0,1559.72,348.41,True,0.2,False,0.0,False
ORD_00000013,PROD_00093,3469.35,173.47,4163.219999999999,general_merchandise,9999,18.0,2747.53,635.07,True,0.2,False,0.0,False
ORD_00000014,PROD_00369,4553.26,227.66,4553.26,general_merchandise,9999,18.0,3609.65,694.57,False,0.0,False,0.0,True
ORD_00000014,PROD_00213,288.47,14.42,288.47,general_merchandise,9999,18.0,221.94,44.0,False,0.0,False,0.0,True
ORD_00000015,PROD_00365,17984.84,899.24,17984.84,general_merchandise,9999,18.0,14118.44,2743.45,False,0.0,False,0.0,False
ORD_00000015,PROD_00223,1149.03,57.45,1149.03,general_merchandise,9999,18.0,953.27,175.28,False,0.0,False,0.0,False
ORD_00000016,PROD_00212,4851.23,242.56,4851.23,general_merchandise,9999,18.0,3882.42,740.02,False,0.0,False,0.0,False
ORD_00000017,PROD_00487,3704.28,185.21,3148.638,general_merchandise,9999,18.0,2921.41,480.3,False,0.0,True,-0.15,False
ORD_00000017,PROD_00294,1472.32,73.62,1251.472,general_merchandise,9999,18.0,1103.1,190.9,False,0.0,True,-0.15,False
