customer_id,customer_city,customer_state
CUST_00000,Pune,KA
CUST_00001,Chennai,GJ
CUST_00002,Kolkata,GJ
CUST_00003,Pune,GJ
CUST_00004,Bangalore,TN
CUST_00005,Ahmedabad,GJ
CUST_00006,Kolkata,WB
CUST_00007,Kolkata,KA
CUST_00008,Pune,RJ
CUST_00009,Delhi,GJ
CUST_00010,Bangalore,MH
CUST_00011,Pune,RJ
CUST_00012,Bangalore,TN
CUST_00013,Bangalore,WB
CUST_00014,Ahmedabad,MH
CUST_00015,Kolkata,MH
CUST_00016,Chennai,MH
CUST_00017,Ahmedabad,MH
CUST_00018,Ahmedabad,RJ
CUST_00019,Bangalore,RJ
CUST_00020,Hyderabad,KA
CUST_00021,Kolkata,GJ
CUST_00022,Delhi,TG
CUST_00023,Ahmedabad,KA
CUST_00024,Chennai,KA
CUST_00025,Hyderabad,WB
CUST_00026,Hyderabad,WB
CUST_00027,Delhi,GJ
CUST_00028,Ahmedabad,TG
CUST_00029,Chennai,WB
CUST_00030,Kolkata,GJ
CUST_00031,Mumbai,GJ
CUST_00032,Chennai,RJ
CUST_00033,Delhi,DL
CUST_00034,Hyderabad,RJ
CUST_00035,Kolkata,TG
CUST_00036,Chennai,WB
CUST_00037,Mumbai,TG
CUST_00038,Mumbai,KA
CUST_00039,Bangalore,KA
CUST_00040,Bangalore,TG
CUST_00041,Pune,DL
CUST_00042,Delhi,DL
CUST_00043,Ahmedabad,RJ
CUST_00044,Chennai,TG
CUST_00045,Chennai,WB
CUST_00046,Ahmedabad,RJ
CUST_00047,Pune,TN
CUST_00048,Hyderabad,DL
CUST_00049,Hyderabad,MH
CUST_00050,Pune,RJ
CUST_00051,Hyderabad,KA
CUST_00052,Bangalore,RJ
CUST_00053,Chennai,TG
CUST_00054,Pune,MH
CUST_00055,Chennai,TG
CUST_00056,Ahmedabad,GJ
CUST_00057,Mumbai,KA
CUST_00058,Bangalore,KA
CUST_00059,Kolkata,DL
CUST_00060,Bangalore,RJ
CUST_00061,Pune,DL
CUST_00062,Kolkata,MH
CUST_00063,Mumbai,RJ
CUST_00064,Pune,GJ
CUST_00065,Delhi,TG
CUST_00066,Chennai,GJ
CUST_00067,Mumbai,KA
CUST_00068,Chennai,MH
CUST_00069,Hyderabad,TN
CUST_00070,Delhi,MH
CUST_00071,Delhi,WB
CUST_00072,Mumbai,MH
CUST_00073,Delhi,GJ
CUST_00074,Kolkata,WB
CUST_00075,Delhi,WB
CUST_00076,Chennai,RJ
CUST_00077,Chennai,RJ
CUST_00078,Pune,WB
CUST_00079,Chennai,TN
CUST_00080,Pune,RJ
CUST_00081,Chennai,MH
CUST_00082,Kolkata,GJ
CUST_00083,Ahmedabad,MH
CUST_00084,Pune,TN
CUST_00085,Bangalore,KA
CUST_00086,Hyderabad,DL
CUST_00087,Mumbai,GJ
CUST_00088,Chennai,RJ
CUST_00089,Delhi,GJ
CUST_00090,Ahmedabad,MH
CUST_00091,Chennai,DL
CUST_00092,Delhi,TG
CUST_00093,Hyderabad,TG
CUST_00094,Hyderabad,RJ
CUST_00095,Hyderabad,TN
CUST_00096,Delhi,TG
CUST_00097,Chennai,GJ
CUST_00098,Hyderabad,TG
CUST_00099,Kolkata,KA
CUST_00100,Pune,KA
CUST_00101,Delhi,RJ
CUST_00102,Delhi,KA
CUST_00103,Chennai,TG
CUST_00104,Delhi,TN
CUST_00105,Delhi,WB
CUST_00106,Hyderabad,WB
CUST_00107,Chennai,RJ
CUST_00108,Hyderabad,DL
CUST_00109,Pune,WB
CUST_00110,Ahmedabad,WB
CUST_00111,Pune,KA
CUST_00112,Ahmedabad,KA
CUST_00113,Hyderabad,TG
CUST_00114,Pune,RJ
CUST_00115,Chennai,DL
CUST_00116,Mumbai,RJ
CUST_00117,Hyderabad,MH
CUST_00118,Ahmedabad,GJ
CUST_00119,Kolkata,DL
CUST_00120,Ahmedabad,DL
CUST_00121,Kolkata,TN
CUST_00122,Delhi,RJ
CUST_00123,Pune,TG
CUST_00124,Kolkata,TN
CUST_00125,Ahmedabad,DL
CUST_00126,Delhi,DL
CUST_00127,Mumbai,DL
CUST_00128,Chennai,WB
CUST_00129,Chennai,RJ
CUST_00130,Chennai,GJ
CUST_00131,Kolkata,GJ
CUST_00132,Mumbai,TN
CUST_00133,Kolkata,DL
CUST_00134,Pune,GJ
CUST_00135,Kolkata,KA
CUST_00136,Mumbai,RJ
CUST_00137,Mumbai,GJ
CUST_00138,Pune,TG
CUST_00139,Mumbai,RJ
CUST_00140,Ahmedabad,TG
CUST_00141,Mumbai,GJ
CUST_00142,Chennai,KA
CUST_00143,Ahmedabad,TG
CUST_00144,Ahmedabad,WB
CUST_00145,Pune,GJ
CUST_00146,Bangalore,WB
CUST_00147,Bangalore,GJ
CUST_00148,Mumbai,MH
CUST_00149,Ahmedabad,MH
CUST_00150,Bangalore,MH
CUST_00151,Bangalore,TG
CUST_00152,Mumbai,WB
CUST_00153,Bangalore,WB
CUST_00154,Kolkata,WB
CUST_00155,Delhi,KA
CUST_00156,Pune,WB
CUST_00157,Delhi,KA
CUST_00158,Mumbai,MH
CUST_00159,Chennai,MH
CUST_00160,Pune,TG
CUST_00161,Mumbai,GJ
CUST_00162,Ahmedabad,MH
CUST_00163,Chennai,GJ
CUST_00164,Delhi,GJ
CUST_00165,Mumbai,RJ
CUST_00166,Ahmedabad,TG
CUST_00167,Pune,DL
CUST_00168,Pune,DL
CUST_00169,Hyderabad,TN
CUST_00170,Ahmedabad,RJ
CUST_00171,Kolkata,TG
CUST_00172,Bangalore,TN
CUST_00173,Chennai,TN
CUST_00174,Ahmedabad,RJ
CUST_00175,Hyderabad,DL
CUST_00176,Bangalore,TG
CUST_00177,Bangalore,DL
CUST_00178,Mumbai,TN
CUST_00179,Bangalore,TG
CUST_00180,Kolkata,TN
CUST_00181,Pune,WB
CUST_00182,Hyderabad,RJ
CUST_00183,Bangalore,GJ
CUST_00184,Mumbai,TG
CUST_00185,Kolkata,TG
CUST_00186,Delhi,GJ
CUST_00187,Pune,TN
CUST_00188,Pune,WB
CUST_00189,Hyderabad,KA
CUST_00190,Pune,GJ
CUST_00191,Bangalore,RJ
CUST_00192,Mumbai,DL
CUST_00193,Pune,TN
CUST_00194,Pune,GJ
CUST_00195,Delhi,GJ
CUST_00196,Delhi,TG
CUST_00197,Chennai,DL
CUST_00198,Kolkata,DL
CUST_00199,Bangalore,RJ
CUST_00200,Pune,DL
CUST_00201,Ahmedabad,GJ
CUST_00202,Pune,KA
CUST_00203,Mumbai,MH
CUST_00204,Chennai,TN
CUST_00205,Kolkata,MH
CUST_00206,Ahmedabad,GJ
CUST_00207,Chennai,MH
CUST_00208,Hyderabad,GJ
CUST_00209,Kolkata,MH
CUST_00210,Pune,DL
CUST_00211,Pune,WB
CUST_00212,Kolkata,DL
CUST_00213,Pune,DL
CUST_00214,Bangalore,RJ
CUST_00215,Kolkata,TG
CUST_00216,Chennai,TG
CUST_00217,Kolkata,MH
CUST_00218,Ahmedabad,GJ
CUST_00219,Pune,RJ
CUST_00220,Bangalore,DL
CUST_00221,Bangalore,RJ
CUST_00222,Hyderabad,MH
CUST_00223,Chennai,TG
CUST_00224,Delhi,WB
CUST_00225,Delhi,TN
CUST_00226,Kolkata,MH
CUST_00227,Hyderabad,RJ
CUST_00228,Mumbai,WB
CUST_00229,Kolkata,TN
CUST_00230,Hyderabad,KA
CUST_00231,Chennai,MH
CUST_00232,Chennai,MH
CUST_00233,Chennai,KA
CUST_00234,Chennai,KA
CUST_00235,Chennai,MH
CUST_00236,Hyderabad,KA
CUST_00237,Hyderabad,DL
CUST_00238,Bangalore,TN
CUST_00239,Ahmedabad,TN
CUST_00240,Delhi,TN
CUST_00241,Pune,DL
CUST_00242,Chennai,GJ
CUST_00243,Mumbai,KA
CUST_00244,Pune,WB
CUST_00245,Hyderabad,KA
CUST_00246,Mumbai,MH
CUST_00247,Mumbai,TG
CUST_00248,Mumbai,RJ
CUST_00249,Bangalore,RJ
CUST_00250,Hyderabad,TN
CUST_00251,Mumbai,KA
CUST_00252,Chennai,WB
CUST_00253,Kolkata,MH
CUST_00254,Mumbai,DL
CUST_00255,Bangalore,GJ
CUST_00256,Pune,DL
CUST_00257,Hyderabad,WB
CUST_00258,Ahmedabad,MH
CUST_00259,Bangalore,TN
CUST_00260,Mumbai,KA
CUST_00261,Hyderabad,MH
CUST_00262,Kolkata,RJ
CUST_00263,Mumbai,GJ
CUST_00264,Bangalore,DL
CUST_00265,Delhi,GJ
CUST_00266,Chennai,GJ
CUST_00267,Ahmedabad,WB
CUST_00268,Pune,WB
CUST_00269,Bangalore,KA
CUST_00270,Hyderabad,WB
CUST_00271,Ahmedabad,WB
CUST_00272,Ahmedabad,MH
CUST_00273,Ahmedabad,RJ
CUST_00274,Mumbai,TN
CUST_00275,Chennai,KA
CUST_00276,Mumbai,MH
CUST_00277,Hyderabad,TN
CUST_00278,Mumbai,GJ
CUST_00279,Delhi,MH
CUST_00280,Chennai,TG
CUST_00281,Chennai,MH
CUST_00282,Hyderabad,WB
CUST_00283,Pune,TN
CUST_00284,Delhi,KA
CUST_00285,Bangalore,KA
CUST_00286,Mumbai,TN
CUST_00287,Kolkata,WB
CUST_00288,Mumbai,DL
CUST_00289,Ahmedabad,MH
CUST_00290,Mumbai,WB
CUST_00291,Bangalore,TG
CUST_00292,Mumbai,RJ
CUST_00293,Delhi,GJ
CUST_00294,Delhi,TN
CUST_00295,Chennai,RJ
CUST_00296,Hyderabad,MH
CUST_00297,Pune,KA
CUST_00298,Kolkata,GJ
CUST_00299,Ahmedabad,RJ
CUST_00300,Mumbai,DL
CUST_00301,Mumbai,RJ
CUST_00302,Bangalore,TG
CUST_00303,Hyderabad,KA
CUST_00304,Delhi,TN
CUST_00305,Kolkata,MH
CUST_00306,Chennai,TN
CUST_00307,Delhi,GJ
CUST_00308,Ahmedabad,MH
CUST_00309,Hyderabad,WB
CUST_00310,Ahmedabad,DL
CUST_00311,Pune,WB
CUST_00312,Chennai,WB
CUST_00313,Pune,TN
CUST_00314,Bangalore,GJ
CUST_00315,Ahmedabad,DL
CUST_00316,Bangalore,RJ
CUST_00317,Mumbai,MH
CUST_00318,Pune,MH
CUST_00319,Hyderabad,TG
CUST_00320,Ahmedabad,KA
CUST_00321,Kolkata,TG
CUST_00322,Chennai,RJ
CUST_00323,Delhi,TG
