product_id,stock_quantity,reorder_point,max_stock_level,cost_price_inr,selling_price_inr,is_dead_stock,last_sale_date,last_restocked
1e9e8ef04dbcff4541ed26657ea517e5,326,65,489,144.16,190.92,False,2018-04-24 16:16:53,2018-09-17 17:30:18
3aa071139cb16b67ca9e5dea641aaa2f,197,39,295,3198.98,4340.0,True,2018-01-31 18:55:36,2018-10-08 17:30:18
96bd76ec8810374ed1b65e291975717f,473,94,709,997.92,1396.5,False,2018-07-09 21:18:01,2018-10-12 17:30:18
cef67bcfe19066a932b7673e239eb23d,138,27,207,1540.13,1965.25,False,2018-08-03 08:55:50,2018-09-27 17:30:18
9dc1a7de274444849c219cff195d0b71,243,48,364,517.02,663.25,True,2018-04-11 01:06:37,2018-10-09 17:30:18
41d3672d4792049fa1779bb35283ed13,75,15,112,618.23,802.72,True,2018-03-12 15:41:41,2018-09-17 17:30:18
732bd381ad09e530fe0a5f457d81becb,103,20,154,12126.05,16852.5,True,2018-01-14 12:31:15,2018-10-02 17:30:18
2548af3e6e77a690cf3eb6368e9ab61e,74,14,111,133.26,174.82,True,2017-11-27 11:26:14,2018-09-28 17:30:18
37cc742be07708b53a98702e77a21a02,51,10,76,136.01,182.0,True,2017-06-15 06:59:08,2018-10-01 17:30:18
8c92109888e8cdf9d66dc7e463025574,156,31,234,1038.64,1450.75,True,2017-09-20 22:10:16,2018-09-20 17:30:18
14aa47b7fe5c25522b47b4b29c98dcb9,199,39,298,912.57,1259.82,False,2018-08-06 15:14:00,2018-10-12 17:30:18
03b63c5fc16691530586ae020c345514,378,75,567,3122.71,4182.5,False,2018-06-04 15:08:42,2018-09-23 17:30:18
cf55509ea8edaaac1d28fdb16e48fc22,210,42,315,2740.17,3626.88,False,2018-06-15 14:08:12,2018-10-04 17:30:18
7bb6f29c2be57716194f96496660c7c2,302,60,453,752.56,1048.25,True,2017-07-16 22:47:11,2018-10-12 17:30:18
eb31436580a610f202c859463d8c7415,397,79,595,2780.49,3958.15,False,2018-06-22 13:12:28,2018-10-02 17:30:18
3bb7f144022e6732727d8d838a7b13b3,204,40,306,359.15,467.25,True,2017-06-04 19:55:30,2018-09-24 17:30:18
6a2fb4dd53d2cdb88e0432f1284a004c,491,98,736,210.83,295.75,True,2017-11-30 01:51:23,2018-10-12 17:30:18
a1b71017a84f92fd8da4aeefba108a24,247,49,370,910.75,1223.25,True,2017-05-23 18:31:34,2018-09-24 17:30:18
a0736b92e52f6cead290e30b578413b6,64,12,96,633.95,869.75,False,2018-08-04 18:36:11,2018-09-23 17:30:18
f53103a77d9cf245e579ea37e5ec51f0,66,13,99,567.7,734.82,False,2018-06-26 14:27:52,2018-09-26 17:30:18
1c1890ba1779090cd54008a3c3302921,179,35,268,1377.92,1958.25,True,2017-11-27 12:28:47,2018-09-23 17:30:18
518ef5de2c2b3a255e326a4594ba15d9,439,87,658,2015.71,2537.5,True,2017-02-28 13:40:03,2018-09-22 17:30:18
