product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,hsn_code,gst_rate,cost_price_brl,selling_price_brl,cost_price_inr,selling_price_inr,stock_quantity,reorder_point,max_stock_level,last_sale_date,days_since_last_sale,is_dead_stock
1e9e8ef04dbcff4541ed26657ea517e5,perfumaria,40.0,287.0,1.0,225.0,16.0,10.0,14.0,9999,18,8.237939715837221,10.91,144.16,190.92,326,65,489,2018-04-24 16:16:53,176,False
3aa071139cb16b67ca9e5dea641aaa2f,artes,44.0,276.0,1.0,1000.0,30.0,18.0,20.0,9999,18,182.79905759926518,248.0,3198.98,4340.0,197,39,295,2018-01-31 18:55:36,258,True
96bd76ec8810374ed1b65e291975717f,esporte_lazer,46.0,250.0,1.0,154.0,18.0,9.0,15.0,9999,18,57.02386891124212,79.8,997.92,1396.5,473,94,709,2018-07-09 21:18:01,99,False
cef67bcfe19066a932b7673e239eb23d,bebes,27.0,261.0,1.0,371.0,26.0,4.0,26.0,9999,18,88.00743112903153,112.3,1540.13,1965.25,138,27,207,2018-08-03 08:55:50,75,False
9dc1a7de274444849c219cff195d0b71,utilidades_domesticas,37.0,402.0,4.0,625.0,20.0,17.0,13.0,9999,18,29.54372908118226,37.9,517.02,663.25,243,48,364,2018-04-11 01:06:37,189,True
41d3672d4792049fa1779bb35283ed13,instrumentos_musicais,60.0,745.0,1.0,200.0,38.0,5.0,11.0,9999,18,35.327424969950066,45.87,618.23,802.72,75,15,112,2018-03-12 15:41:41,219,True
732bd381ad09e530fe0a5f457d81becb,cool_stuff,56.0,1272.0,4.0,18350.0,70.0,24.0,44.0,9505,18,692.9168599906573,963.0,12126.05,16852.5,103,20,154,2018-01-14 12:31:15,276,True
2548af3e6e77a690cf3eb6368e9ab61e,moveis_decoracao,56.0,184.0,2.0,900.0,40.0,8.0,40.0,9999,18,7.61508010367705,9.99,133.26,174.82,74,14,111,2017-11-27 11:26:14,324,True
37cc742be07708b53a98702e77a21a02,eletrodomesticos,57.0,163.0,1.0,400.0,27.0,13.0,17.0,9999,18,7.771843093304085,10.4,136.01,182.0,51,10,76,2017-06-15 06:59:08,489,True
8c92109888e8cdf9d66dc7e463025574,brinquedos,36.0,1156.0,1.0,600.0,17.0,10.0,12.0,9999,18,59.351135358602285,82.9,1038.64,1450.75,156,31,234,2017-09-20 22:10:16,391,True
14aa47b7fe5c25522b47b4b29c98dcb9,cama_mesa_banho,54.0,630.0,1.0,1100.0,16.0,10.0,16.0,9999,18,52.146664123946216,71.99,912.57,1259.82,199,39,298,2018-08-06 15:14:00,72,False
03b63c5fc16691530586ae020c345514,bebes,49.0,728.0,4.0,7150.0,50.0,19.0,45.0,9999,18,178.44066985182673,239.0,3122.71,4182.5,378,75,567,2018-06-04 15:08:42,135,False
cf55509ea8edaaac1d28fdb16e48fc22,instrumentos_musicais,43.0,1827.0,3.0,250.0,17.0,7.0,17.0,9999,18,156.58122176135976,207.25,2740.17,3626.88,210,42,315,2018-06-15 14:08:12,124,False
7bb6f29c2be57716194f96496660c7c2,moveis_decoracao,51.0,2083.0,2.0,600.0,68.0,11.0,13.0,9999,18,43.00358960308898,59.9,752.56,1048.25,302,60,453,2017-07-16 22:47:11,457,True
eb31436580a610f202c859463d8c7415,construcao_ferramentas_seguranca,59.0,1602.0,4.0,200.0,17.0,7.0,17.0,9999,18,158.88534328551506,226.18,2780.49,3958.15,397,79,595,2018-06-22 13:12:28,117,False
3bb7f144022e6732727d8d838a7b13b3,esporte_lazer,22.0,3021.0,1.0,800.0,16.0,2.0,11.0,9999,18,20.522881890766918,26.7,359.15,467.25,204,40,306,2017-06-04 19:55:30,499,True
6a2fb4dd53d2cdb88e0432f1284a004c,perfumaria,39.0,346.0,2.0,400.0,27.0,5.0,20.0,9999,18,12.047281691646369,16.9,210.83,295.75,491,98,736,2017-11-30 01:51:23,321,True
a1b71017a84f92fd8da4aeefba108a24,informatica_acessorios,59.0,636.0,1.0,900.0,40.0,15.0,20.0,9999,18,52.04310983378669,69.9,910.75,1223.25,247,49,370,2017-05-23 18:31:34,511,True
a0736b92e52f6cead290e30b578413b6,moveis_decoracao,56.0,296.0,2.0,1700.0,100.0,7.0,15.0,9999,18,36.22579942582857,49.7,633.95,869.75,64,12,96,2018-08-04 18:36:11,73,False
f53103a77d9cf245e579ea37e5ec51f0,cama_mesa_banho,52.0,206.0,1.0,500.0,16.0,10.0,16.0,9999,18,32.44017934363944,41.99,567.7,734.82,66,13,99,2018-06-26 14:27:52,113,False
1c1890ba1779090cd54008a3c3302921,moveis_decoracao,27.0,158.0,4.0,2550.0,29.0,24.0,45.0,9999,18,78.73855842246323,111.90000000000002,1377.92,1958.25,179,35,268,2017-11-27 12:28:47,324,True
518ef5de2c2b3a255e326a4594ba15d9,cama_mesa_banho,27.0,329.0,2.0,800.0,36.0,8.0,16.0,9999,18,115.18368546488351,145.0,2015.71,2537.5,439,87,658,2017-02-28 13:40:03,596,True
e3e020af31d4d89d2602272b315c3f6e,beleza_saude,58.0,1987.0,3.0,75.0,21.0,7.0,13.0,9999,18,22.106028655387245,29.9,386.86,523.25,224,44,336,2017-05-12 10:51:43,523,True
